Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Bursins;1183;00;313;Gilly;5857;VD;3.315 %;6.2925982549095;46.452909253886126;fr;2008-07-01
Luins;1184;00;315;Luins;5858;VD;100 %;6.271389690555398;46.44284150855403;fr;2008-07-01
Vinzel;1184;01;314;Vinzel;5863;VD;100 %;6.280489956235255;46.44755914046465;fr;2008-07-01
Mont-sur-Rolle;1185;00;316;Mont-sur-Rolle;5859;VD;99.895 %;6.339616949451063;46.468821955896345;fr;2008-07-01
Mont-sur-Rolle;1185;00;316;Essertines-sur-Rolle;5856;VD;0.105 %;6.324466720807901;46.46412182656535;fr;2008-07-01
Essertines-sur-Rolle;1186;00;317;Essertines-sur-Rolle;5856;VD;98.134 %;6.316975567938507;46.49137943632409;fr;2008-07-01
Essertines-sur-Rolle;1186;00;317;Gilly;5857;VD;1.866 %;6.2999405359952325;46.47762486921927;fr;2008-07-01
St-Oyens;1187;00;318;Saint-Oyens;5436;VD;100 %;6.3063804822288185;46.49784164043096;fr;2008-07-01
Gimel;1188;00;320;Gimel;5428;VD;100 %;6.306837786278425;46.51147597337722;fr;2008-07-01
St-George;1188;02;495;Saint-George;5434;VD;100 %;6.262896990848491;46.513908058065354;fr;2008-07-01
Saubraz;1189;00;319;Saubraz;5437;VD;100 %;6.329960630099432;46.51434925188602;fr;2008-07-01
Dully;1195;02;5873;Dully;5855;VD;100 %;6.298919782830832;46.430868406920446;fr;2008-07-01
Bursinel;1195;03;6177;Bursinel;5852;VD;99.119 %;6.307198299234053;46.440055913420615;fr;2008-07-01
Bursinel;1195;03;6177;Gilly;5857;VD;0.881 %;6.309376259842153;46.447319871950924;fr;2008-07-01
Gland;1196;00;323;Gland;5721;VD;100 %;6.270243403121644;46.421174808592525;fr;2008-07-01
Prangins;1197;00;324;Prangins;5725;VD;100 %;6.248193333478634;46.39628534029646;fr;2008-07-01
Genève;1201;00;367;Genève;6621;GE;100 %;6.143926326347479;46.209805818350986;fr;2008-07-01
Genève;1202;00;368;Genève;6621;GE;99.155 %;6.136808635967727;46.21643557002033;fr;2008-07-01
Genève;1202;00;368;Pregny-Chambésy;6634;GE;0.845 %;6.1342722339172555;46.232483662977685;fr;2008-07-01
Genève;1203;00;369;Genève;6621;GE;100 %;6.1233866287129235;46.20818275031755;fr;2008-07-01
Genève;1204;00;370;Genève;6621;GE;100 %;6.146531708726773;46.20214339838413;fr;2008-07-01
Genève;1205;00;371;Genève;6621;GE;100 %;6.142333194338474;46.19563551116778;fr;2008-07-01
Genève;1206;00;372;Genève;6621;GE;100 %;6.156033875673683;46.19150964421771;fr;2008-07-01
Genève;1207;00;373;Genève;6621;GE;100 %;6.160009365878668;46.203151648615055;fr;2008-07-01
Genève;1208;00;374;Genève;6621;GE;100 %;6.1670840190446645;46.19816641752202;fr;2008-07-01
Genève;1209;00;376;Genève;6621;GE;98 %;6.123904305966568;46.22161211687637;fr;2008-07-01
Genève;1209;00;376;Vernier;6643;GE;1.455 %;6.113977926866725;46.21832014258859;fr;2008-07-01
Genève;1209;00;376;Le Grand-Saconnex;6623;GE;0.545 %;6.124416516570141;46.226161504351005;fr;2008-07-01
Grand-Lancy;1212;00;411;Lancy;6628;GE;91.575 %;6.119423711525582;46.17869872305073;fr;2008-07-01
Grand-Lancy;1212;00;411;Onex;6631;GE;8.124 %;6.106944005632722;46.17634780526312;fr;2008-07-01
Grand-Lancy;1212;00;411;Plan-les-Ouates;6633;GE;0.301 %;6.1008365559592574;46.17437163851772;fr;2008-07-01
Petit-Lancy;1213;00;415;Lancy;6628;GE;97.54 %;6.1173750748628635;46.19159424657604;fr;2008-07-01
Petit-Lancy;1213;00;415;Genève;6621;GE;2.46 %;6.119352207133015;46.19874291144972;fr;2008-07-01
Onex;1213;03;418;Onex;6631;GE;99.804 %;6.102568135794381;46.182611866720634;fr;2008-07-01
Onex;1213;03;418;Lancy;6628;GE;0.196 %;6.110371491952584;46.18343278849323;fr;2008-07-01
Vernier;1214;00;420;Vernier;6643;GE;90.317 %;6.080526813459794;46.21306418572857;fr;2008-07-01
Vernier;1214;00;420;Satigny;6638;GE;7.967 %;6.066805219647821;46.21243036597109;fr;2008-07-01
Vernier;1214;00;420;Meyrin;6630;GE;1.717 %;6.0705766415939495;46.21978240737312;fr;2008-07-01
Genève;1215;00;421;Le Grand-Saconnex;6623;GE;50.909 %;6.111281152690926;46.23534658160377;fr;2008-07-01
Genève;1215;00;421;Meyrin;6630;GE;49.091 %;6.099898410091109;46.22636819185509;fr;2008-07-01
Cointrin;1216;00;423;Meyrin;6630;GE;69.773 %;6.106352323013731;46.22432128459757;fr;2008-07-01
Cointrin;1216;00;423;Vernier;6643;GE;30.108 %;6.112766674258419;46.22281336367335;fr;2008-07-01
Cointrin;1216;00;423;Le Grand-Saconnex;6623;GE;0.119 %;6.114084119811813;46.224070404260374;fr;2008-07-01
Meyrin;1217;00;424;Meyrin;6630;GE;100 %;6.077167321879198;46.23026189335262;fr;2008-07-01
Le Grand-Saconnex;1218;00;428;Le Grand-Saconnex;6623;GE;99.618 %;6.118743284063528;46.229712053217895;fr;2008-07-01
Le Grand-Saconnex;1218;00;428;Genève;6621;GE;0.382 %;6.132181889817313;46.23099300094014;fr;2008-07-01
